[2025-02-23 17:17:34 | 0x1Afe...13bF] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:34 | 0x1Afe...13bF] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:34 | 0x7cC4...Ac27] 🔹 Processing wallet: 0x7cC4...Ac27
[2025-02-23 17:17:34 | 0x7cC4...Ac27] 🔹 Requesting challenge...
[2025-02-23 17:17:39 | 0x7cC4...Ac27] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:39 | 0x7cC4...Ac27] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:39 | 0x0147...fe2f] 🔹 Processing wallet: 0x0147...fe2f
[2025-02-23 17:17:39 | 0x0147...fe2f] 🔹 Requesting challenge...
[2025-02-23 17:17:44 | 0x0147...fe2f] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:44 | 0x0147...fe2f] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:44 | 0x5Fd5...5d01] 🔹 Processing wallet: 0x5Fd5...5d01
[2025-02-23 17:17:44 | 0x5Fd5...5d01] 🔹 Requesting challenge...
[2025-02-23 17:17:49 | 0x5Fd5...5d01] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:49 | 0x5Fd5...5d01] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:49 | 0x0001...B22E] 🔹 Processing wallet: 0x0001...B22E
[2025-02-23 17:17:49 | 0x0001...B22E] 🔹 Requesting challenge...
[2025-02-23 17:17:54 | 0x0001...B22E] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:54 | 0x0001...B22E] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:54 | 0xe86C...A89D] 🔹 Processing wallet: 0xe86C...A89D
[2025-02-23 17:17:54 | 0xe86C...A89D] 🔹 Requesting challenge...
[2025-02-23 17:17:59 | 0xe86C...A89D] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:59 | 0xe86C...A89D] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:17:59 | 0x7480...41C3] 🔹 Processing wallet: 0x7480...41C3
[2025-02-23 17:17:59 | 0x7480...41C3] 🔹 Requesting challenge...
[2025-02-23 17:18:04 | 0x7480...41C3] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:04 | 0x7480...41C3] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:04 | 0x7036...cd73] 🔹 Processing wallet: 0x7036...cd73
[2025-02-23 17:18:04 | 0x7036...cd73] 🔹 Requesting challenge...
[2025-02-23 17:18:10 | 0x7036...cd73] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:10 | 0x7036...cd73] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:10 | 0x2ccE...7922] 🔹 Processing wallet: 0x2ccE...7922
[2025-02-23 17:18:10 | 0x2ccE...7922] 🔹 Requesting challenge...
[2025-02-23 17:18:15 | 0x2ccE...7922] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:15 | 0x2ccE...7922] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:18:15 | 0x46F7...D4D7] 🔹 Processing wallet: 0x46F7...D4D7
[2025-02-23 17:18:15 | 0x46F7...D4D7] 🔹 Requesting challenge...
[2025-02-23 17:18:20 | 0x46F7...D4D7] ❌ Error during login: ❌ Failed to get challenge: Forbidden
